dataset,model,dx,label,acc_mean,acc_std,n_folds_seen,n_images
BW,Complex Tree,BCC,MALIGNANT,0.5283333333333333,0.11111805533855522,5,31
BW,Complex Tree,CYST,BENIGN,0.835,0.205851888502389,5,40
BW,Complex Tree,DERMATOFIBROMA,BENIGN,0.8314285714285715,0.20513808191815877,5,21
BW,Complex Tree,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Complex Tree,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Complex Tree,FIBROMA,BENIGN,1.0,,1,1
BW,Complex Tree,HEMANGIOMA,BENIGN,1.0,,1,1
BW,Complex Tree,KA,MALIGNANT,1.0,,1,1
BW,Complex Tree,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Complex Tree,LIPOMA,BENIGN,0.7,0.2541325113662818,5,26
BW,Complex Tree,LYMPHOMA,MALIGNANT,0.75,0.3535533905932738,2,3
BW,Complex Tree,MERKEL,MALIGNANT,1.0,,1,1
BW,Complex Tree,METASTASIS,MALIGNANT,0.6666666666666666,0.5773502691896258,3,4
BW,Complex Tree,NEUROFIBROMA,BENIGN,0.5,,1,2
BW,Complex Tree,OSTEOMA,BENIGN,1.0,,1,1
BW,Complex Tree,PILOMATRICOMA,BENIGN,0.0,,1,1
BW,Complex Tree,SCC,MALIGNANT,0.4833333333333333,0.42295258468165065,4,11
BW,Complex Tree,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Complex Tree,SEBK,BENIGN,0.375,0.47871355387816905,4,7
BW,Complex Tree,SK,BENIGN,1.0,,1,1
BW,Complex Tree,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Cosine KNN,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Cosine KNN,ANGIOMA,BENIGN,0.75,0.3535533905932738,2,3
BW,Cosine KNN,BCC,MALIGNANT,0.5283333333333333,0.20031225624010132,5,31
BW,Cosine KNN,CYST,BENIGN,0.850873015873016,0.035221914632018146,5,40
