dataset,model,k_features,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
BW,Cosine KNN,20,0.7171497584541063,0.09219656240821532,0.6968253968253968,0.04984480828608272,0.5666666666666667,0.062360956446232345,0.7634057971014492,0.0541008882751597,0.5528471528471528,0.07292734662546317,0.5583946488294316,0.06311410218776481
BW,Weighted KNN,20,0.7535024154589373,0.08385257089992033,0.7026984126984127,0.06303725997475394,0.4833333333333333,0.06236095644623236,0.8144927536231885,0.07566827525916878,0.5819230769230769,0.1052441511959061,0.5254545454545454,0.07679531666161045
BW,Boosted Trees,20,0.6803442028985507,0.0816393994570379,0.6804761904761905,0.06446203528782839,0.4333333333333333,0.1699673171197595,0.8050724637681158,0.06239462867138914,0.5275757575757576,0.11896554431691102,0.46468761417610516,0.1416230011775503
BW,Bagged Trees,20,0.7169836956521739,0.06333008189198161,0.6857142857142857,0.03834245183867038,0.5666666666666667,0.11055415967851333,0.7467391304347826,0.08522121158744365,0.5389792663476874,0.06172618462528156,0.5455097964214374,0.05719483701847823
BW,Subspace Discriminant,20,0.7409118357487923,0.06909175826393046,0.6973015873015873,0.06169602577861712,0.4,0.097182531580755,0.8481884057971014,0.048520972930421354,0.5722222222222222,0.14038087520548087,0.4704761904761905,0.11394393338238121
BW,Subspace KNN,20,0.7484148550724636,0.07476024665578988,0.7023809523809523,0.036456139929701134,0.45,0.04082482904638629,0.8307971014492754,0.06914121995290759,0.5912759462759463,0.08300913828971657,0.5055921622237411,0.026717666479150824
BW,RUSBoosted Trees,20,0.6803442028985507,0.0816393994570379,0.6804761904761905,0.06446203528782839,0.4333333333333333,0.1699673171197595,0.8050724637681158,0.06239462867138914,0.5275757575757576,0.11896554431691102,0.46468761417610516,0.1416230011775503
Doppler,Simple Tree,20,0.6568085748792271,0.14733539716689187,0.7253968253968254,0.06984126984126983,0.55,0.17159383568311665,0.8134057971014492,0.08826015563358001,0.609469696969697,0.12083511445443247,0.5648911474998431,0.12990309346575465
Doppler,Medium Tree,20,0.6358695652173914,0.08906155285777091,0.6803174603174604,0.08738870112551239,0.5000000000000001,0.12909944487358058,0.7717391304347826,0.10694851900464204,0.5376923076923077,0.1453449274278056,0.5122597402597402,0.1304918520864603
Doppler,Complex Tree,20,0.6358695652173914,0.08906155285777091,0.6803174603174604,0.08738870112551239,0.5000000000000001,0.12909944487358058,0.7717391304347826,0.10694851900464204,0.5376923076923077,0.1453449274278056,0.5122597402597402,0.1304918520864603
Doppler,Linear Discriminant Analysis,20,0.7842693236714976,0.0914320805077868,0.7647619047619048,0.08212594718975277,0.5833333333333334,0.09128709291752769,0.8568840579710144,0.08882355559515406,0.6941919191919192,0.16153801772427676,0.6298550724637682,0.11254666002431926
Doppler,Quadratic Discriminant Analysis,20,0.8026871980676329,0.0873321822148604,0.7301587301587302,0.07013107262076332,0.7833333333333333,0.08498365855987976,0.7028985507246377,0.06672964888823966,0.576078431372549,0.08369035401784632,0.6634555738004013,0.08452556484957464
Doppler,Logistic Regression,20,0.8073067632850242,0.08108902873885308,0.7647619047619048,0.07628070054665292,0.6000000000000001,0.0816496580927726,0.8485507246376811,0.10647859719875948,0.7006204906204906,0.1501757856169463,0.6365412323078227,0.08834965919397053
Doppler,Linear SVM,20,0.798822463768116,0.09310556374929235,0.7474603174603175,0.04147810697860497,0.4833333333333334,0.09718253158075502,0.8826086956521738,0.10319028861659563,0.7439393939393939,0.17010232970528713,0.5605425492382015,0.040133410406111514
Doppler,Quadratic SVM,20,0.7134057971014494,0.07689990375592731,0.6968253968253968,0.04984480828608272,0.23333333333333334,0.06236095644623236,0.9329710144927537,0.07252714619725328,0.7016666666666667,0.20387904911164037,0.3407843137254901,0.08124748243814996
Doppler,Cubic SVM,20,0.7697161835748793,0.08427286651534116,0.7139682539682541,0.060195365148711794,0.2666666666666667,0.08164965809277261,0.9416666666666668,0.07728015412913089,0.775,0.22912878474779202,0.3847899159663865,0.10824695576301914
