dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Quadratic SVM,20,0.5555555555555556,0.6944444444444444,0.25,0.9166666666666666,0.6,0.35294117647058826,22,2,9,3,2
BW,Quadratic SVM,20,0.7318840579710144,0.7428571428571429,0.4166666666666667,0.9130434782608695,0.7142857142857143,0.5263157894736842,21,2,7,5,3
BW,Quadratic SVM,20,0.5108695652173914,0.6857142857142857,0.08333333333333333,1.0,1.0,0.15384615384615385,23,0,11,1,4
BW,Cubic SVM,20,0.7395833333333334,0.7222222222222222,0.25,0.9583333333333334,0.75,0.375,23,1,9,3,0
BW,Cubic SVM,20,0.6006944444444444,0.6388888888888888,0.25,0.8333333333333334,0.42857142857142855,0.3157894736842105,20,4,9,3,1
BW,Cubic SVM,20,0.5972222222222222,0.7777777777777778,0.4166666666666667,0.9583333333333334,0.8333333333333334,0.5555555555555556,23,1,7,5,2
BW,Cubic SVM,20,0.7717391304347827,0.6857142857142857,0.25,0.9130434782608695,0.6,0.35294117647058826,21,2,9,3,3
BW,Cubic SVM,20,0.7137681159420289,0.6285714285714286,0.08333333333333333,0.9130434782608695,0.3333333333333333,0.13333333333333333,21,2,11,1,4
BW,Fine Gaussian SVM,20,0.3194444444444444,0.6111111111111112,0.0,0.9166666666666666,0.0,0.0,22,2,12,0,0
BW,Fine Gaussian SVM,20,0.5069444444444444,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,1
BW,Fine Gaussian SVM,20,0.5173611111111112,0.6666666666666666,0.0,1.0,0.0,0.0,24,0,12,0,2
BW,Fine Gaussian SVM,20,0.18478260869565222,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,3
BW,Fine Gaussian SVM,20,0.6938405797101449,0.6857142857142857,0.08333333333333333,1.0,1.0,0.15384615384615385,23,0,11,1,4
BW,Medium Gaussian SVM,20,0.7708333333333333,0.75,0.4166666666666667,0.9166666666666666,0.7142857142857143,0.5263157894736842,22,2,7,5,0
BW,Medium Gaussian SVM,20,0.625,0.6388888888888888,0.3333333333333333,0.7916666666666666,0.4444444444444444,0.38095238095238093,19,5,8,4,1
BW,Medium Gaussian SVM,20,0.7395833333333334,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.5,0.4,20,4,8,4,2
BW,Medium Gaussian SVM,20,0.8260869565217391,0.7142857142857143,0.3333333333333333,0.9130434782608695,0.6666666666666666,0.4444444444444444,21,2,8,4,3
BW,Medium Gaussian SVM,20,0.8152173913043479,0.6857142857142857,0.16666666666666666,0.9565217391304348,0.6666666666666666,0.26666666666666666,22,1,10,2,4
BW,Coarse Gaussian SVM,20,0.7256944444444444,0.7222222222222222,0.25,0.9583333333333334,0.75,0.375,23,1,9,3,0
