k,dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std
5,Doppler,Complex Tree,0.673731884057971,0.0574289649161654,0.7139682539682539,0.06484588392590172,0.55,0.06666666666666668,0.797463768115942,0.0914408342644165,0.5947727272727272,0.10732375519777558,0.567193675889328,0.07549303643518307
5,Doppler,Linear Discriminant Analysis,0.8171799516908212,0.06969080434481018,0.7925396825396825,0.05029417116638047,0.6333333333333334,0.06666666666666665,0.8735507246376812,0.07374234338091913,0.7357503607503608,0.11386929561357842,0.6746711259754739,0.06359842082515815
5,Doppler,Quadratic Discriminant Analysis,0.8073671497584541,0.06991361153941994,0.7701587301587303,0.06286315507562426,0.6333333333333334,0.06666666666666665,0.8398550724637681,0.09554918698217824,0.6949145299145298,0.1363213299671692,0.6538518518518518,0.06942507384162404
5,Doppler,Logistic Regression,0.8086956521739129,0.07740231599152765,0.7814285714285715,0.05516095690378014,0.6166666666666667,0.08498365855987973,0.8652173913043478,0.08817533515132514,0.7245598845598845,0.12126139313276352,0.6564285108907535,0.06781918597803992
5,Doppler,Linear SVM,0.8032004830917874,0.07871664609145469,0.7757142857142857,0.0371767583721839,0.55,0.08498365855987973,0.8909420289855072,0.08523661421758037,0.7546536796536796,0.12549241479238535,0.622242954096501,0.046499665120169995
5,Doppler,Quadratic SVM,0.6488224637681159,0.07313961200931997,0.690952380952381,0.018081309036061137,0.13333333333333336,0.06666666666666667,0.975,0.049999999999999996,0.9,0.20000000000000004,0.2161172161172161,0.07773856934729557
5,Doppler,Cubic SVM,0.7815821256038646,0.09402808007808203,0.6968253968253968,0.03038760272869311,0.25,0.07453559924999298,0.925,0.08079466429027217,0.7531746031746032,0.22369692090251223,0.3496867167919799,0.05458267441509583
5,Doppler,Fine Gaussian SVM,0.7413647342995169,0.07376890537131892,0.6968253968253968,0.025152595516655746,0.16666666666666669,0.13944333775567927,0.9655797101449275,0.03244726547425815,0.6095238095238095,0.32908861986992377,0.24269905533063424,0.1722701449659068
5,Doppler,Medium Gaussian SVM,0.8076992753623188,0.04982052405294976,0.7926984126984127,0.046587774800874004,0.5833333333333333,0.09128709291752765,0.8992753623188406,0.08113515423981255,0.7737301587301586,0.12118722773995844,0.6538417138417139,0.07106730649527566
5,Doppler,Coarse Gaussian SVM,0.8033816425120774,0.07082168494195609,0.7704761904761905,0.07572842701789194,0.5666666666666667,0.0816496580927726,0.8742753623188406,0.1143436012518321,0.7400505050505051,0.16404609508961684,0.6289348976305498,0.09024097213140786
5,Doppler,Fine KNN,0.7067028985507247,0.07974801471956418,0.7361904761904763,0.07966071920291347,0.6166666666666667,0.11303883305208781,0.7967391304347826,0.09620503379564009,0.627973692973693,0.14786044341522345,0.6138976836368141,0.10201697969614079
