dataset,model,auc_mean,auc_std,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,error
Doppler,Bagged Trees,0.7344532279314888,0.10294408882037291,0.7194957983193278,0.046315863806763356,0.5378787878787878,0.13466961238356953,0.808695652173913,0.02129991080681023,0.5703496503496504,0.06831708977167018,0.5501298701298701,0.09947535769653346,
Doppler,Subspace Discriminant,0.7768774703557313,0.06389361989471626,0.7487394957983194,0.05337292271664003,0.6803030303030304,0.11622308430766733,0.782608695652174,0.06148754619013457,0.6068589743589744,0.0744792352001726,0.6374741200828158,0.08017569940885338,
Doppler,Subspace KNN,0.7956192358366272,0.08275799034431335,0.7485714285714286,0.02955021435489609,0.590909090909091,0.11499191491521381,0.826086956521739,0.027498066610159803,0.6208547008547008,0.04225231634526427,0.6010351966873706,0.07102264106473699,
Doppler,RUSBoosted Trees,0.6973649538866931,0.10923338859070181,0.6726050420168066,0.07708516544345946,0.5378787878787878,0.12177897756006135,0.7391304347826086,0.08695652173913042,0.5090043290043289,0.11240996430459851,0.5182284382284382,0.10350095540520593,
BW+Doppler,Simple Tree,0.6290513833992094,0.09695806053799035,0.6842016806722689,0.05052202596581154,0.48484848484848486,0.2000918062935658,0.7826086956521738,0.06148754619013457,0.5057875457875458,0.11264397967400665,0.482684274789538,0.14646098718646913,
BW+Doppler,Medium Tree,0.6072793148880107,0.08675464148852856,0.6435294117647059,0.055005504600286886,0.5015151515151516,0.18999299199293618,0.7130434782608696,0.04433930011819813,0.4424242424242424,0.10481957912986652,0.4650480241006557,0.14062059529387252,
BW+Doppler,Complex Tree,0.6072793148880107,0.08675464148852856,0.6435294117647059,0.055005504600286886,0.5015151515151516,0.18999299199293618,0.7130434782608696,0.04433930011819813,0.4424242424242424,0.10481957912986652,0.4650480241006557,0.14062059529387252,
BW+Doppler,Linear Discriminant Analysis,0.6698945981554678,0.04774289813878851,0.6845378151260505,0.04416875790872428,0.5378787878787878,0.15731330124142318,0.7565217391304349,0.0806401608303974,0.5197979797979798,0.06810687988031705,0.5196658813450418,0.0861274035153125,
BW+Doppler,Quadratic Discriminant Analysis,,,,,,,,,,,,,"The covariance matrix of class 0 is not full rank. When using `solver='svd'` the number of samples in each class should be more than the number of features, but class 0 has 92 samples and 930 features. Try using `solver='eigen'` and setting the parameter `shrinkage` for regularization."
BW+Doppler,Logistic Regression,0.7276679841897233,0.05120675016822662,0.7141176470588235,0.06650961894165913,0.6106060606060606,0.1313558594042015,0.7652173913043478,0.09365504012407831,0.5741807212395448,0.11213378669482792,0.58215994531784,0.08538598221480904,
BW+Doppler,Linear SVM,0.7026021080368906,0.06963801113142186,0.7016806722689075,0.013018431415823246,0.3757575757575758,0.15757575757575756,0.8608695652173912,0.06956521739130433,0.5721367521367522,0.0571400602510997,0.4338888888888889,0.10793230617405239,
BW+Doppler,Quadratic SVM,0.745125164690382,0.045428951569377984,0.7721008403361344,0.032845857633419774,0.4303030303030303,0.13740344301520768,0.9391304347826088,0.021299910806810284,0.7755555555555556,0.022388268532899894,0.5404334365325077,0.10954794141795109,
BW+Doppler,Cubic SVM,0.7376811594202898,0.0826207773166595,0.7193277310924371,0.02951961020210131,0.30454545454545456,0.09491187735373227,0.9217391304347826,0.017391304347826122,0.6461904761904762,0.08869934439523848,0.40856209150326805,0.09781764723132669,
BW+Doppler,Fine Gaussian SVM,0.4913043478260869,0.048466944050495904,0.6608403361344538,0.022857142857142864,0.0,0.0,0.9826086956521738,0.034782608695652195,0.0,0.0,0.0,0.0,
BW+Doppler,Medium Gaussian SVM,0.814822134387352,0.05530631616598614,0.7779831932773109,0.07729521214103734,0.4833333333333333,0.17091016548125543,0.9217391304347826,0.03253615118933865,0.7228571428571429,0.17397806570639524,0.5763157894736842,0.18087200292041666,
BW+Doppler,Coarse Gaussian SVM,0.7229907773386033,0.10951501770537266,0.7136134453781512,0.03255215324063296,0.12575757575757576,0.09335104121666281,1.0,0.0,0.8,0.4,0.21135531135531135,0.14590346414071328,
