dataset,model,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Coarse Gaussian SVM,0.8181818181818182,0.7941176470588235,0.45454545454545453,0.9565217391304348,0.8333333333333334,0.5882352941176471,22,1,6,5,3
BW,Coarse Gaussian SVM,0.8853754940711462,0.8235294117647058,0.45454545454545453,1.0,1.0,0.625,23,0,6,5,4
BW,Fine KNN,0.5797101449275363,0.6571428571428571,0.3333333333333333,0.8260869565217391,0.5,0.4,19,4,8,4,0
BW,Fine KNN,0.733201581027668,0.7352941176470589,0.7272727272727273,0.7391304347826086,0.5714285714285714,0.64,17,6,3,8,1
BW,Fine KNN,0.6640316205533597,0.7058823529411765,0.5454545454545454,0.782608695652174,0.5454545454545454,0.5454545454545454,18,5,5,6,2
BW,Fine KNN,0.7529644268774702,0.7941176470588235,0.6363636363636364,0.8695652173913043,0.7,0.6666666666666666,20,3,4,7,3
BW,Fine KNN,0.7312252964426877,0.7647058823529411,0.6363636363636364,0.8260869565217391,0.6363636363636364,0.6363636363636364,19,4,4,7,4
BW,Medium KNN,0.6666666666666666,0.6857142857142857,0.5,0.782608695652174,0.5454545454545454,0.5217391304347826,18,5,6,6,0
BW,Medium KNN,0.6916996047430831,0.7352941176470589,0.5454545454545454,0.8260869565217391,0.6,0.5714285714285714,19,4,5,6,1
BW,Medium KNN,0.6916996047430831,0.7647058823529411,0.45454545454545453,0.9130434782608695,0.7142857142857143,0.5555555555555556,21,2,6,5,2
BW,Medium KNN,0.8181818181818182,0.8235294117647058,0.6363636363636364,0.9130434782608695,0.7777777777777778,0.7,21,2,4,7,3
BW,Medium KNN,0.7727272727272727,0.7941176470588235,0.5454545454545454,0.9130434782608695,0.75,0.631578947368421,21,2,5,6,4
BW,Coarse KNN,0.7010869565217391,0.6571428571428571,0.0,1.0,0.0,0.0,23,0,12,0,0
BW,Coarse KNN,0.7055335968379447,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,1
BW,Coarse KNN,0.6304347826086957,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,2
BW,Coarse KNN,0.8280632411067194,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,3
BW,Coarse KNN,0.8359683794466404,0.6764705882352942,0.0,1.0,0.0,0.0,23,0,11,0,4
BW,Cosine KNN,0.7119565217391305,0.7142857142857143,0.5833333333333334,0.782608695652174,0.5833333333333334,0.5833333333333334,18,5,5,7,0
BW,Cosine KNN,0.7687747035573123,0.7352941176470589,0.6363636363636364,0.782608695652174,0.5833333333333334,0.6086956521739131,18,5,4,7,1
BW,Cosine KNN,0.6897233201581028,0.6764705882352942,0.45454545454545453,0.782608695652174,0.5,0.47619047619047616,18,5,6,5,2
BW,Cosine KNN,0.8478260869565217,0.7941176470588235,0.6363636363636364,0.8695652173913043,0.7,0.6666666666666666,20,3,4,7,3
BW,Cosine KNN,0.7905138339920948,0.7647058823529411,0.5454545454545454,0.8695652173913043,0.6666666666666666,0.6,20,3,5,6,4
BW,Weighted KNN,0.6829710144927535,0.6571428571428571,0.4166666666666667,0.782608695652174,0.5,0.45454545454545453,18,5,7,5,0
BW,Weighted KNN,0.7312252964426877,0.7647058823529411,0.5454545454545454,0.8695652173913043,0.6666666666666666,0.6,20,3,5,6,1
BW,Weighted KNN,0.7035573122529645,0.7647058823529411,0.45454545454545453,0.9130434782608695,0.7142857142857143,0.5555555555555556,21,2,6,5,2
BW,Weighted KNN,0.8339920948616601,0.8235294117647058,0.6363636363636364,0.9130434782608695,0.7777777777777778,0.7,21,2,4,7,3
BW,Weighted KNN,0.7984189723320159,0.7941176470588235,0.5454545454545454,0.9130434782608695,0.75,0.631578947368421,21,2,5,6,4
